,Location,Retweet_Count,Date,Tweets
512,"à¤—à¥à¤œà¤°à¤¾à¤¤, à¤­à¤¾à¤°à¤¤",0,Tue Feb 25 17:06:31 +0000 2020,"They don't want #NRC because then infiltration wouldn't be easy, identification will be possible and 'gazwa e hind' program will suffer."
536,,0,Tue Feb 25 16:21:31 +0000 2020,"@AHindinews wow they incite the mob, then Play victim card and cry they dont want to be other Jew? this is just another level of politics.... How can we bloody trust them? they beat us to death and if beaten back they cry holocaust?? #NRC is needed , chuc"
538,"New Delhi, Delhi",12,Tue Feb 25 16:20:24 +0000 2020,RT @vikashtjha: The government says it will remove infiltrators.  How many infiltrators will it remove? And is it feasible with the cost ofâ€¦
544,,1,Tue Feb 25 16:08:57 +0000 2020,RT @ravi_shimoga: #DelhiRiots clearly shows that there are millions of illegal immigrants in #Delhi. That makes it more important and urgenâ€¦
546,India.ðŸ‡®ðŸ‡³.CanadaðŸ‡¨ðŸ‡¦,1,Tue Feb 25 16:06:48 +0000 2020,#DelhiRiots clearly shows that there are millions of illegal immigrants in #Delhi. That makes it more important and urgent to implement #NRC. Will there be influx of illegals into States where NRC is not going to be implemented? #AntiCAA #AntiCAAprotests @Swamy39 @Voice_For_India
577,,0,Tue Feb 25 14:52:15 +0000 2020,@KapilMishra_IND @ArvindKejriwal Without wait very very fast govt has come #NRC  And throw out all illegal people from hindustan. And if possible also anti national people. @AmitShah  @narendramodi
626,India,0,Tue Feb 25 14:18:56 +0000 2020,"#DelhiRiots: @narendramodi sir &amp; @AmitShah ... since this much happened, lets not wait for  #NRC! Go ahead! India and Indians are with you!"
630,Mumbai,0,Tue Feb 25 14:18:13 +0000 2020,@UmeshKu61426671 I hope he is convinced..He is based in Dubai..He is worried that his mother won't be able to prove her Indian citizenship as and when #NRC is implemented..
667,,1,Tue Feb 25 14:11:43 +0000 2020,"RT @DrBKKundu: Seemapuri, welcome, seelampur, and other outside areas of #Delhi are settled by #bangladeshis.  They are the ones causing #Dâ€¦"
681,Delhi-Pune-Mumbai ,64,Tue Feb 25 14:07:48 +0000 2020,"If what editors say is true that @PMOIndia has assured NO #NRC why can't hon'able @narendramodi ji tweet , the 1955 Citizenship Act will be amended and #NRC will be dropped . All  #CAAProtest will stop  #DelhiBurning #delhivoilence"
682,"New Delhi, India",1,Tue Feb 25 14:06:09 +0000 2020,"Seemapuri, welcome, seelampur, and other outside areas of #Delhi are settled by #bangladeshis.  They are the ones causing #DelhiCAAClashes cos they want to prevent #NRC #à¤œà¤¿à¤¹à¤¾à¤¦à¤¿à¤¯à¥‹à¤‚_à¤•à¤¾_à¤†à¤°à¥à¤¥à¤¿à¤•_à¤¬à¤¹à¤¿à¤·à¥à¤•à¤¾à¤° is necessary to drive them out. #DelhiRiots"
